-32,197,0
157,151,0
-119,126,1
-146,157,0
0,0,0
106,233,0
0,0,1
-210,116,1
29,198,0
-232,9,0
144,28,0
-97,233,1
59,179,0
-128,137,0
155,203,0
43,176,1
-155,189,0
53,53,0
-234,26,1
-13,9,1
-119,127,0
18,0,1
-168,211,1
-190,173,0
116,151,1
-5,20,1
-175,203,0
61,77,1
136,555,0
111,250,0
146,104,0
-131,269,1
20,17,1
-68,241,0
-86,187,1
136,6,1
21,48,0
165,6,0
-127,145,1
-161,238,1
-161,231,0
-111,101,1
144,149,1
233,-1,0
51,112,1
-98,254,0
103,138,0
9,6,1
89,162,0
-122,175,1
159,-10,0
0,42,0
-13,22,0
-229,48,1
62,258,1
-213,157,1
95,271,0
-231,42,1
136,242,1
-65,293,0
15,6,1
147,250,0
24,3,0
-21,19,0
73,206,0
-175,63,0
61,165,1
7,0,1
62,258,1
-138,105,1
7,266,1
-7,258,0
-119,129,0
163,113,0
36,33,0
97,189,0
0,0,0
0,0,0
-166,201,0
-57,61,0
62,266,1
39,170,1
